pos,cell,lvf,zvf,dr,negative_control_barcodes,gene_encoding_barcodes,est_FDR
21,7,2.5,1,0,8465,21981,0.057060438
21,10,2.5,1,0,5714,14070,0.060173008
21,11,2.5,1,0,3228,15010,0.031864596
21,12,2.5,1,0,6843,15212,0.066652403
21,13,2.5,1,0,6343,17434,0.053908004
22,2,2.5,1,0,7816,25170,0.046010497
22,8,2.5,1,0,4665,17628,0.039210664
22,9,2.5,1,0,10843,23647,0.06794054
22,11,2.5,1,0,5755,22381,0.038099689
23,2,2.5,1,0,4362,17904,0.036098668
23,3,2.5,1,0,9576,29592,0.047947438
23,5,2.5,1,0,3814,18121,0.031185601
23,7,2.5,1,0,4196,18478,0.033646206
23,8,2.5,1,0,1680,10430,0.023866051
23,9,2.5,1,0,5761,21482,0.039735506
23,10,2.5,1,0,6391,20872,0.045369118
24,2,2.5,1,0,5582,11059,0.074787594
24,3,2.5,1,0,9681,23572,0.060852633
