nImages,q,n,mhd,w3,w4,w5,w6,Generating Notebook
180,16,12,4,0,7425,142560,2577960,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
195,16,13,4,0,10725,231660,4787640,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
210,16,14,4,0,15015,360360,8378370,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
225,16,15,4,0,20475,540540,13963950,gen_RS_q11k7_code.jl.ipynb
240,16,16,4,0,27300,786240,22342320,gen_extended_codes_cuda.jl.ipynb
255,16,17,4,0,35700,1113840,34529040,gen_extended_codes_cuda.jl.ipynb
180,16,12,5,0,0,11880,152460,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
195,16,13,5,0,0,19305,283140,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
210,16,14,5,0,0,30030,495495,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
225,16,15,5,0,0,45045,825825,gen_RS_q11k7_code.jl.ipynb
240,16,16,5,0,0,65520,1321320,gen_extended_codes_cuda.jl.ipynb
255,16,17,5,0,0,92820,2042040,gen_extended_codes_cuda.jl.ipynb
208,17,13,2,68640,2757040,79382160,1693513536,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
224,17,14,2,87360,3859856,123483360,2963648688,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
240,17,15,2,109200,5263440,185225040,4939414480,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
256,17,16,2,134400,7017920,269418240,7903063168,gen_RS_q11k7_code.jl.ipynb
272,17,17,2,163200,9177280,381675840,12213824896,gen_extended_codes_cuda.jl.ipynb
288,17,18,2,195840,11799360,528474240,18320737344,gen_extended_codes_cuda.jl.ipynb
208,17,13,3,4576,160160,4674384,99610368,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
224,17,14,3,5824,224224,7271264,174318144,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
240,17,15,3,7280,305760,10906896,290530240,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
256,17,16,3,8960,407680,15864576,464848384,gen_RS_q11k7_code.jl.ipynb
272,17,17,3,10880,533120,22474816,718402048,gen_extended_codes_cuda.jl.ipynb
288,17,18,3,13056,685440,31118976,1077603072,gen_extended_codes_cuda.jl.ipynb
208,17,13,4,0,11440,267696,5875584,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
224,17,14,4,0,16016,416416,10282272,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
240,17,15,4,0,21840,624624,17137120,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
256,17,16,4,0,29120,908544,27419392,gen_RS_q11k7_code.jl.ipynb
272,17,17,4,0,38080,1287104,42375424,gen_extended_codes_cuda.jl.ipynb
288,17,18,4,0,48960,1782144,63563136,gen_extended_codes_cuda.jl.ipynb
208,17,13,5,0,0,20592,329472,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
224,17,14,5,0,0,32032,576576,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
240,17,15,5,0,0,48048,960960,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
256,17,16,5,0,0,69888,1537536,gen_RS_q11k7_code.jl.ipynb
272,17,17,5,0,0,99008,2376192,gen_extended_codes_cuda.jl.ipynb
288,17,18,5,0,0,137088,3564288,gen_extended_codes_cuda.jl.ipynb
